attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,fluency,label,difficulty,consistency
bae,rtmr,2,1,0,0.51497322,0.785185185,0.82218045,0.5785752,2.13448552,0.50128716,6.594759388,0.46363968,1.035722316,0.460236378,0.828525641,0.76963141,0.766426282,0.490836754,0.166371011,,. . . one of the most [[hated]] monster [[characters]] in [[sweden]] . . .,. . . one of the most [[entertaining]] monster [[movies]] in [[ages]] . . .,3.0,0.0,3.6666666666666665,1.0
pso,rtmr,364,1,0,0.750623854,0.999314129,0.89801764,0.81780607,1.260875546,0.72153825,5.278010468,0.62776715,0.862824282,0.453325321,0.826522436,0.793669872,0.797275641,0.583348545,0.171348244,,the closest thing to the experience of [[blank]] travel,the closest thing to the experience of [[space]] travel,2.6666666666666665,1.0,2.0,1.3333333333333333
bae,rtmr,169,1,0,1.53E-231,0.25,0.5541046,0.56553566,2.274954767,0.42220652,7.478716492,0.4192419,1.077736623,0.458032853,0.815604968,0.670673077,0.679887821,0.419242054,0.120791456,,"a [[mild]] , [[withdrawn]] [[disposition]] .","a [[wry]] , [[affectionate]] [[delight]] .",3.0,0.0,3.0,1.0
alzantot,rtmr,104,1,0,0.741944663,0.905454545,0.9416289,0.91967547,0.883966303,0.9257679,2.565683247,0.89407945,0.460262162,0.463541667,0.841846955,0.857371795,0.846955128,0.852475709,0.133980539,,watching spirited away is like watching an eastern [[novelty]] explode .,watching spirited away is like watching an eastern [[imagination]] explode .,3.6666666666666665,0.0,2.0,3.0
pso,rtmr,132,0,1,0.906187443,0.964109782,0.9820288,0.96694154,0.558822689,0.98709166,0.70070564,0.9786423,0.206677283,0.461838942,0.845052083,0.849759615,0.847355769,0.898001361,0.194360962,,"while the new film is much more eye-catching than its blood-drenched stephen norrington-directed predecessor , the [[refreshing]] script by the returning david s . goyer is much sillier .","while the new film is much more eye-catching than its blood-drenched stephen norrington-directed predecessor , the [[new]] script by the returning david s . goyer is much sillier .",3.3333333333333335,0.0,3.0,4.666666666666667
bae,rtmr,227,0,1,7.38E-78,0.75,0.7691446,0.8576462,1.289147314,0.8537811,3.42659377,0.6669505,0.816148869,0.461638622,0.837139423,0.80088141,0.807291667,0.627504694,0.189640058,,more trifle than [[others]] .,more trifle than [[triumph]] .,3.6666666666666665,1.0,1.3333333333333333,1.6666666666666667
pso,rtmr,166,0,1,0.830538917,0.888020833,0.870906,0.860243,1.24702176,0.8721836,2.775864225,0.8554702,0.537642741,0.46103766,0.839342949,0.768028846,0.755208333,0.736190593,0.118049354,,[[off]] in comparison to other recent war movies or any other john woo flick for that [[fact]] .,[[disappointing]] in comparison to other recent war movies or any other john woo flick for that [[matter]] .,1.6666666666666667,0.0,3.3333333333333335,3.0
bae,rtmr,220,0,1,0.898539608,0.961292308,0.9776689,0.9653925,0.760261231,0.97258866,1.235571442,0.96545917,0.262833683,0.460036058,0.844851763,0.904647436,0.909054487,0.827995998,0.307176431,,"it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a [[sad]] , preachy one at that .","it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a [[sappy]] , preachy one at that .",4.666666666666667,0.0,4.333333333333333,3.6666666666666665
alzantot,rtmr,278,1,0,0.893153982,0.908636364,0.9013679,0.932201,0.821697984,0.96042013,1.600191353,0.9330045,0.366047836,0.451422276,0.839242788,0.818910256,0.831730769,0.899551916,0.20413918,,[[conscientiously]] uncovers a trail of outrageous force and craven concealment .,[[meticulously]] uncovers a trail of outrageous force and craven concealment .,3.3333333333333335,1.0,2.6666666666666665,2.6666666666666665
bae,rtmr,375,0,1,0.688836505,0.936388889,0.92719966,0.9662053,0.610077828,0.95448333,1.706972773,0.93944967,0.347995219,0.465044071,0.844150641,0.849358974,0.846153846,0.88092258,0.143004619,,[hell is] [[looks]] down at your watch and realizing serving sara isn't [[only]] halfway through .,[hell is] [[looking]] down at your watch and realizing serving sara isn't [[even]] halfway through .,1.6666666666666667,0.0,1.3333333333333333,3.6666666666666665
pso,rtmr,286,1,0,0.596949179,0.864795918,0.9196137,0.81409895,1.333510897,0.7274443,5.010970994,0.7135826,0.756858629,0.462740385,0.834735577,0.757612179,0.767227564,0.721401227,0.236482172,,it's a very [[costly]] film . . .,it's a very [[valuable]] film . . .,4.0,0.0,3.6666666666666665,1.6666666666666667
bae,rtmr,306,1,0,0.820720263,0.961292308,0.96562064,0.9676384,0.663876343,0.97768116,1.098918353,0.9589685,0.286466677,0.463741987,0.844350962,0.825721154,0.814903846,0.908830148,0.213320494,,"the [[movie]] may not hit as hard as some of the better drug-related pictures , but it [[only]] manages to get a few punches in .","the [[film]] may not hit as hard as some of the better drug-related pictures , but it [[still]] manages to get a few punches in .",2.6666666666666665,0.0,3.6666666666666665,2.3333333333333335
bae,rtmr,258,0,1,0.839432708,0.943675509,0.9743277,0.9510759,0.755236237,0.94410175,1.628440969,0.8954971,0.457171677,0.460336538,0.84364984,0.866987179,0.870592949,0.733095589,0.209454344,,"soulless and -- even more damning -- virtually [[irresistible]] , xxx achieves near virtuosity in its crapulence .","soulless and -- even more damning -- virtually [[joyless]] , xxx achieves near virtuosity in its crapulence .",3.3333333333333335,0.0,3.3333333333333335,2.3333333333333335
bae,rtmr,131,0,1,0.78254229,0.920940171,0.9685072,0.94340855,0.836533815,0.96413064,1.674333621,0.7839888,0.65728435,0.462940705,0.840645032,0.820512821,0.808092949,0.61369489,0.321457584,,"one of the most [[intricate]] , unimaginative romantic comedies i've ever seen .","one of the most [[plain]] , unimaginative romantic comedies i've ever seen .",4.333333333333333,0.0,3.6666666666666665,2.3333333333333335
pso,rtmr,222,0,1,5.18E-78,0.681818182,0.75877005,0.7789996,1.518274056,0.6555882,5.060907239,0.7048226,0.768345579,0.462640224,0.838641827,0.747596154,0.756810897,0.683783364,0.123038851,,the [[tease]] is just too [[free]] to be [[honest]] satisfying .,the [[satire]] is just too [[easy]] to be [[genuinely]] satisfying .,1.3333333333333333,0.0,3.0,2.0
pso,rtmr,299,1,0,0.884386592,0.956162415,0.9549211,0.9384864,0.907624894,0.94241136,1.722601766,0.96614516,0.26021085,0.453425481,0.845552885,0.870592949,0.862980769,0.877061266,0.247184441,,"i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in [[streaking]] deleted scenes .","i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in [[viewing]] deleted scenes .",2.3333333333333335,1.0,2.0,2.3333333333333335
bae,rtmr,107,1,0,0.73488892,0.905454545,0.96527374,0.85099095,1.117928113,0.8553075,2.797997462,0.7511744,0.705444105,0.457932692,0.845152244,0.798076923,0.802083333,0.732945085,0.179419589,,"twohy's a [[bad]] yarn-spinner , and ultimately the story compels .","twohy's a [[good]] yarn-spinner , and ultimately the story compels .",2.0,0.0,1.6666666666666667,2.0
pso,rtmr,289,1,0,0.849232664,0.946718648,0.95483893,0.9619227,0.662853682,0.9346981,1.78276549,0.8858775,0.477749922,0.457832532,0.844951923,0.814903846,0.814903846,0.755243033,0.216186625,,a comedy-drama of nearly epic proportions rooted in a [[artless]] performance by the title character undergoing midlife crisis .,a comedy-drama of nearly epic proportions rooted in a [[sincere]] performance by the title character undergoing midlife crisis .,3.3333333333333335,0.0,2.6666666666666665,1.3333333333333333
alzantot,rtmr,29,1,0,0.930489948,0.961292308,0.99025077,0.9707793,0.565321782,0.99611056,0.417178521,0.97882223,0.2058053,0.466546474,0.844851763,0.894230769,0.883413462,0.927396077,0.184289246,,"tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden [[casually]] .","tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden [[lightly]] .",4.0,1.0,2.6666666666666665,4.333333333333333
bae,rtmr,297,0,1,5.71E-78,0.637142857,0.8050446,0.7619222,1.480656682,0.7893993,4.019590375,0.7895961,0.648696975,0.458733974,0.84385016,0.811698718,0.811298077,0.758883768,0.196827422,,the [[perfect]] talking-animal [[experience]] is grisly .,the [[whole]] talking-animal [[thing]] is grisly .,3.0,1.0,2.0,2.3333333333333335
pso,rtmr,64,1,0,0.596949179,0.881944444,0.9145862,0.7666666,1.517087399,0.8250355,3.632107183,0.538972,0.960237434,0.461838942,0.844651442,0.782451923,0.788060897,0.488330108,0.167792474,,enriched by a [[terrible]] and unforced supporting cast .,enriched by a [[strong]] and unforced supporting cast .,2.3333333333333335,0.0,3.3333333333333335,1.3333333333333333
alzantot,rtmr,215,1,0,0.669542634,0.918979206,0.883331,0.8590737,1.243889408,0.8062101,2.924614347,0.8134091,0.610886116,0.453725962,0.845152244,0.820112179,0.815705128,0.795397896,0.215446768,,"if you're [[search]] for an intelligent movie in which you can release your pent up anger , [[rather]] is just the [[airfare]] you need .","if you're [[looking]] for an intelligent movie in which you can release your pent up anger , [[enough]] is just the [[ticket]] you need .",1.6666666666666667,1.0,2.3333333333333335,2.6666666666666665
bae,rtmr,209,0,1,0.857892809,0.949445983,0.93673664,0.8966276,1.00675556,0.8758705,2.723517203,0.8709095,0.508115106,0.462339744,0.844951923,0.836939103,0.828125,0.747544062,0.130209374,,"the characters . . . are [[strong]] , and their personalities undergo radical changes when it suits the script .","the characters . . . are [[paper-thin]] , and their personalities undergo radical changes when it suits the script .",4.0,1.0,4.333333333333333,1.6666666666666667
alzantot,rtmr,355,0,1,0.807055727,0.905454545,0.9345361,0.9220567,0.888253361,0.7523568,4.540307689,0.89339685,0.461742902,0.4609375,0.845052083,0.774038462,0.768429487,0.858756995,0.228783792,,a [[ghastly]] movie that some people will nevertheless find moving .,a [[terrible]] movie that some people will nevertheless find moving .,4.666666666666667,0.0,4.333333333333333,4.666666666666667
pso,rtmr,61,1,0,0.921050021,0.967598566,0.98546445,0.9895153,0.367067956,0.99661696,0.404256001,0.98364186,0.180876093,0.463541667,0.844551282,0.829727564,0.834535256,0.875225788,0.224828839,,the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski creates images [[merely]] more haunting than those in mr . spielberg's 1993 classic .,the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski creates images [[even]] more haunting than those in mr . spielberg's 1993 classic .,3.3333333333333335,1.0,3.0,3.0
pso,rtmr,203,1,0,0.872512939,0.954133168,0.9651249,0.9647966,0.581220819,0.9721221,1.19692079,0.938959,0.349402535,0.462940705,0.845552885,0.797676282,0.789262821,0.779740888,0.144978563,,". . . strips bible stores of the potential for sanctimoniousness , making them [[punny]] for both kids and church-wary adults .",". . . strips bible stores of the potential for sanctimoniousness , making them [[meaningful]] for both kids and church-wary adults .",3.3333333333333335,1.0,2.0,1.0
pso,rtmr,20,1,0,0.707106781,0.864795918,0.9348048,0.87997425,1.099032229,0.76740885,4.533920389,0.8832481,0.483222322,0.460336538,0.841546474,0.720753205,0.715945513,0.810743201,0.12772382,,by turns very dark and very [[ridiculous]] .,by turns very dark and very [[funny]] .,4.0,0.0,3.3333333333333335,2.3333333333333335
pso,rtmr,307,1,0,0.73153391,0.87372449,0.9009108,0.85636014,1.25166541,0.82512534,3.174472046,0.892052,0.464646179,0.459234776,0.844250801,0.8125,0.803285256,0.820630151,0.216903313,,". . . a [[auspiciously]] [[sentimentalizing]] story about four sisters who are [[copping]] , in one way or another , with life's endgame .",". . . a [[sweetly]] [[affecting]] story about four sisters who are [[coping]] , in one way or another , with life's endgame .",3.6666666666666665,1.0,2.0,3.3333333333333335
alzantot,rtmr,195,1,0,0.544517885,0.777744982,0.8441446,0.83663553,1.261313088,0.85737973,3.062175878,0.80775654,0.620070142,0.463141026,0.841546474,0.825320513,0.818108974,0.754652476,0.101305176,,this submarine drama [[profits]] the right to be favorably compared to [[dass]] [[starter]] .,this submarine drama [[earns]] the right to be favorably compared to [[das]] [[boot]] .,2.3333333333333335,1.0,3.0,2.0
pso,rtmr,380,1,0,0.927607703,0.959722222,0.9759983,0.9540532,0.770867276,0.88122183,2.418150507,0.8743829,0.501232872,0.465544872,0.844951923,0.769230769,0.769230769,0.745180964,0.264687701,,the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is surprisingly [[ridiculous]] .,the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is surprisingly [[enjoyable]] .,2.0,0.0,3.0,1.6666666666666667
